wl:mh,wl:hot,region,type,count,throughput,avg,p50,p95,p99,pMax
100,100000,us-east-1,write,182580,2028.5,736.3,805.3,1006.6,1677.7,4831.8
100,100000,us-east-2,deadlock,3,0.0,900.4,939.5,1040.2,1040.2,1040.2
100,100000,us-east-2,write,178045,1978.1,755.0,738.2,1208.0,1744.8,5368.7
100,100000,us-west-1,deadlock,1,0.0,1308.6,1342.2,1342.2,1342.2,1342.2
100,100000,us-west-1,write,132657,1473.9,1010.2,738.2,1744.8,2415.9,4831.8
100,100000,us-west-2,deadlock,5,0.1,896.7,1040.2,1275.1,1275.1,1275.1
100,100000,us-west-2,write,135946,1510.4,986.9,838.9,1610.6,2281.7,5905.6
100,100000,eu-west-1,write,132318,1470.1,1013.3,939.5,1610.6,2281.7,4831.8
100,100000,eu-west-2,deadlock,100,1.1,953.4,1073.7,1140.9,1208.0,1208.0
100,100000,eu-west-2,write,123075,1367.4,1088.1,1040.2,1744.8,2415.9,5100.3
100,10000,us-east-1,deadlock,186,2.1,946.4,872.4,1208.0,1409.3,16106.1
100,10000,us-east-1,too-old,21,0.2,17589.7,18253.6,32212.3,38654.7,38654.7
100,10000,us-east-1,write,106003,1177.8,1100.0,805.3,2415.9,9126.8,51539.6
100,10000,us-east-2,deadlock,24,0.3,846.6,939.5,1140.9,1476.4,1476.4
100,10000,us-east-2,too-old,18,0.2,17988.9,16106.1,32212.3,34359.7,34359.7
100,10000,us-east-2,write,102637,1140.4,1134.1,872.4,2550.1,10737.4,62277.0
100,10000,us-west-1,deadlock,56,0.6,876.7,1040.2,1140.9,1140.9,1208.0
100,10000,us-west-1,too-old,38,0.4,16054.0,15032.4,32212.3,38654.7,38654.7
100,10000,us-west-1,write,77912,865.7,1543.0,1342.2,3489.7,11811.2,55834.6
100,10000,us-west-2,deadlock,61,0.7,1094.4,1040.2,1208.0,1409.3,9663.7
100,10000,us-west-2,too-old,31,0.3,21268.1,19327.4,40802.2,47244.6,47244.6
100,10000,us-west-2,write,78668,874.0,1592.4,1409.3,3623.9,14495.5,64424.5
100,10000,eu-west-1,too-old,43,0.5,16327.2,16106.1,33286.0,47244.6,47244.6
100,10000,eu-west-1,write,76244,847.1,1693.9,1342.2,3892.3,16643.0,62277.0
100,10000,eu-west-2,deadlock,1,0.0,956.3,973.1,973.1,973.1,973.1
100,10000,eu-west-2,too-old,67,0.7,18735.4,16643.0,34359.7,49392.1,53687.1
100,10000,eu-west-2,write,72998,811.0,1805.4,1476.4,4026.5,18253.6,66572.0
100,1000,us-east-1,deadlock,30,0.3,43180.1,36507.2,81604.4,85899.3,85899.3
100,1000,us-east-1,too-old,1,0.0,9932.1,10200.5,10200.5,10200.5,10200.5
100,1000,us-east-1,other,2,0.0,22951.2,15569.3,31138.5,31138.5,31138.5
100,1000,us-east-1,write,5802,64.5,2444.1,1275.1,5100.3,36507.2,90194.3
100,1000,us-east-2,deadlock,39,0.4,43438.4,36507.2,85899.3,90194.3,90194.3
100,1000,us-east-2,too-old,3,0.0,36820.4,15569.3,90194.3,90194.3,90194.3
100,1000,us-east-2,other,5,0.1,39513.7,36507.2,77309.4,77309.4,77309.4
100,1000,us-east-2,write,4231,47.0,8378.2,1476.4,85899.3,90194.3,90194.3
100,1000,us-west-1,deadlock,17,0.2,52250.2,62277.0,85899.3,85899.3,85899.3
100,1000,us-west-1,too-old,2,0.0,28051.5,12348.0,45097.2,45097.2,45097.2
100,1000,us-west-1,other,7,0.1,51194.5,47244.6,85899.3,85899.3,85899.3
100,1000,us-west-1,write,2839,31.5,19582.2,2415.9,90194.3,90194.3,90194.3
100,1000,us-west-2,deadlock,39,0.4,37247.1,33286.0,81604.4,81604.4,81604.4
100,1000,us-west-2,too-old,4,0.0,84825.6,85899.3,90194.3,90194.3,90194.3
100,1000,us-west-2,other,8,0.1,35299.3,17179.9,81604.4,81604.4,81604.4
100,1000,us-west-2,write,2803,31.1,27686.0,2684.4,90194.3,90194.3,90194.3
100,1000,eu-west-1,deadlock,54,0.6,24066.8,6442.5,68719.5,73014.4,85899.3
100,1000,eu-west-1,too-old,6,0.1,76772.5,85899.3,90194.3,90194.3,90194.3
100,1000,eu-west-1,other,4,0.0,56707.0,57982.1,81604.4,81604.4,81604.4
100,1000,eu-west-1,write,2607,29.0,32521.8,3221.2,90194.3,90194.3,90194.3
100,1000,eu-west-2,deadlock,12,0.1,37506.5,24696.1,73014.4,81604.4,81604.4
100,1000,eu-west-2,too-old,3,0.0,69793.2,81604.4,85899.3,85899.3,85899.3
100,1000,eu-west-2,other,1,0.0,59055.8,60129.5,60129.5,60129.5,60129.5
100,1000,eu-west-2,write,3147,35.0,32992.3,3892.3,90194.3,90194.3,90194.3
100,100,us-east-1,deadlock,1135,12.6,42508.3,40802.2,81604.4,90194.3,90194.3
100,100,us-east-1,too-old,6,0.1,39415.3,32212.3,62277.0,62277.0,62277.0
100,100,us-east-1,other,25,0.3,38746.0,40802.2,81604.4,81604.4,81604.4
100,100,us-east-1,write,728,8.1,8549.4,3489.7,49392.1,85899.3,90194.3
100,100,us-east-2,deadlock,1229,13.7,41874.7,40802.2,81604.4,90194.3,90194.3
100,100,us-east-2,too-old,5,0.1,55780.9,64424.5,90194.3,90194.3,90194.3
100,100,us-east-2,other,22,0.2,44322.4,42949.7,90194.3,90194.3,90194.3
100,100,us-east-2,write,421,4.7,15782.8,3892.3,85899.3,90194.3,90194.3
100,100,us-west-1,deadlock,1131,12.6,45316.8,42949.7,85899.3,90194.3,90194.3
